Restaurant;Adresse;Rubrik;Preisspanne;Google_Maps;Website
aerde restaurant;Am Lokdepot 6, 10965 Berlin;dinner;€€€€;https://www.google.com/maps/search/?api=1&query=aerde%20restaurant%2C%20Am%20Lokdepot%206%2C%2010965%20Berlin;https://www.aerde.de
AKKURAT Café;Besselstraße 13, 10969 Berlin;coffee, breakfast;€;https://www.google.com/maps/search/?api=1&query=AKKURAT%20Caf%C3%A9%2C%20Besselstra%C3%9Fe%2013%2C%2010969%20Berlin;https://akkurat.cafe
Albatross Bäckerei;Graefestrasse 66/67, 10967 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=Albatross%20B%C3%A4ckerei%2C%20Graefestrasse%2066/67%2C%2010967%20Berlin;https://albatrossberlin.com
Alt Berliner Wirtshaus Henne;Leuschnerdamm 25, 10999 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Alt%20Berliner%20Wirtshaus%20Henne%2C%20Leuschnerdamm%2025%2C%2010999%20Berlin;https://henne-berlin.de
Anima;Mühlenstraße 61-63, 10243 Berlin;dinner, coffee;€€€;https://www.google.com/maps/search/?api=1&query=Anima%2C%20M%C3%BChlenstra%C3%9Fe%2061-63%2C%2010243%20Berlin;
Ari’s;Glogauer Str. 2, 10999 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Ari%E2%80%99s%2C%20Glogauer%20Str.%202%2C%2010999%20Berlin;
Atelier Dough;Glogauer Str. 9, 10999 Berlin;sweets;€;https://www.google.com/maps/search/?api=1&query=Atelier%20Dough%2C%20Glogauer%20Str.%209%2C%2010999%20Berlin;https://www.atelierdough.com
AVIV 030;Richardstr. 76, 12043 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=AVIV%20030%2C%20Richardstr.%2076%2C%2012043%20Berlin;https://aviv030.com
Babka & Krantz;Hackerstraße 1, 12161 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=Babka%20%26%20Krantz%2C%20Hackerstra%C3%9Fe%201%2C%2012161%20Berlin;
Bæst;Karl-Liebknecht-Str. 29, 10178 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=B%C3%A6st%2C%20Karl-Liebknecht-Str.%2029%2C%2010178%20Berlin;https://beast-berlin.com
Bar Basta;Rosenthaler Str. 53, 10178 Berlin;breakfast, dinner;€€;https://www.google.com/maps/search/?api=1&query=Bar%20Basta%2C%20Rosenthaler%20Str.%2053%2C%2010178%20Berlin;
Barra;Okerstraße 2, 12049 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Barra%2C%20Okerstra%C3%9Fe%202%2C%2012049%20Berlin;https://www.barraberlin.com
Bergmanns;Riemannstraße 13, 10961 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Bergmanns%2C%20Riemannstra%C3%9Fe%2013%2C%2010961%20Berlin;https://www.bergmanns.berlin
Berlin Burger International;Pannierstraße 5, 12047 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Berlin%20Burger%20International%2C%20Pannierstra%C3%9Fe%205%2C%2012047%20Berlin;https://www.bbi-burger.com
Berta restaurant;Stresemannstraße 99, 10963 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Berta%20restaurant%2C%20Stresemannstra%C3%9Fe%2099%2C%2010963%20Berlin;https://www.bertarestaurant.com
Bertie;Eberswalder Str. 8, 10437 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Bertie%2C%20Eberswalder%20Str.%208%2C%2010437%20Berlin;
Beuster;Weserstraße 32, 12045 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=Beuster%2C%20Weserstra%C3%9Fe%2032%2C%2012045%20Berlin;https://beusterbar.com
Boii Boii;Lausitzer Str. 25, 10999 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Boii%20Boii%2C%20Lausitzer%20Str.%2025%2C%2010999%20Berlin;https://www.boiiboii.com
Bonanza Coffee Heroes;Oderberger Str. 35, 10435 Berlin;coffee;€;https://www.google.com/maps/search/?api=1&query=Bonanza%20Coffee%20Heroes%2C%20Oderberger%20Str.%2035%2C%2010435%20Berlin;https://bonanzacoffee.de
Borchardt;Französische Str. 47, 10117 Berlin;lunch, dinner;€€€;https://www.google.com/maps/search/?api=1&query=Borchardt%2C%20Franz%C3%B6sische%20Str.%2047%2C%2010117%20Berlin;https://www.borchardt-restaurant.de
Bottega Seppel;Wielandstraße 38, 10629 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Bottega%20Seppel%2C%20Wielandstra%C3%9Fe%2038%2C%2010629%20Berlin;
Boutique de LA MAISON;Urbanstr. 70A, 10967 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=Boutique%20de%20LA%20MAISON%2C%20Urbanstr.%2070A%2C%2010967%20Berlin;
Buya Ramen Factory;Reichenberger Str. 36, 10999 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Buya%20Ramen%20Factory%2C%20Reichenberger%20Str.%2036%2C%2010999%20Berlin;
Caligari;Kienitzer Str. 110, 12049 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Caligari%2C%20Kienitzer%20Str.%20110%2C%2012049%20Berlin;
Capvin Rosenhöfe;Rosenthaler Str. 36, 10178 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Capvin%20Rosenh%C3%B6fe%2C%20Rosenthaler%20Str.%2036%2C%2010178%20Berlin;
Châlet Suisse;Clayallee 99, 14195 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Ch%C3%A2let%20Suisse%2C%20Clayallee%2099%2C%2014195%20Berlin;https://www.chalet-suisse.de
Chipperfield Kantine;Joachimstr. 11, 10119 Berlin;lunch, coffee;€€;https://www.google.com/maps/search/?api=1&query=Chipperfield%20Kantine%2C%20Joachimstr.%2011%2C%2010119%20Berlin;https://chipperfield-kantine.de
Chungking Noodles;Reichenberger Str. 35, 10999 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Chungking%20Noodles%2C%20Reichenberger%20Str.%2035%2C%2010999%20Berlin;
Clärchens Ballhaus;Auguststraße 24, 10117 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=Cl%C3%A4rchens%20Ballhaus%2C%20Auguststra%C3%9Fe%2024%2C%2010117%20Berlin;https://www.claerchens-ballhaus.de
Cocolo Ramen Mitte;Gipsstraße 3, 10119 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Cocolo%20Ramen%20Mitte%2C%20Gipsstra%C3%9Fe%203%2C%2010119%20Berlin;
CODA Dessert Dining;Friedelstraße 47, 12047 Berlin;sweets, dinner;€€€€;https://www.google.com/maps/search/?api=1&query=CODA%20Dessert%20Dining%2C%20Friedelstra%C3%9Fe%2047%2C%2012047%20Berlin;https://coda-berlin.com
Common;Karl-Marx-Straße 176, 12043 Berlin;coffee, breakfast;€;https://www.google.com/maps/search/?api=1&query=Common%2C%20Karl-Marx-Stra%C3%9Fe%20176%2C%2012043%20Berlin;
Companion Tee & Kaffee;Weserstraße 166, 12045 Berlin;coffee;€;https://www.google.com/maps/search/?api=1&query=Companion%20Tee%20%26%20Kaffee%2C%20Weserstra%C3%9Fe%20166%2C%2012045%20Berlin;
Concierge Coffee;Paul-Lincke-Ufer 39-40, 10999 Berlin;coffee;€;https://www.google.com/maps/search/?api=1&query=Concierge%20Coffee%2C%20Paul-Lincke-Ufer%2039-40%2C%2010999%20Berlin;https://www.conciergecoffee.de
Crapulix;Schildhornstraße 87, 12163 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=Crapulix%2C%20Schildhornstra%C3%9Fe%2087%2C%2012163%20Berlin;
Diener Tattersall;Grolmanstraße 47, 10623 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Diener%20Tattersall%2C%20Grolmanstra%C3%9Fe%2047%2C%2010623%20Berlin;https://www.diener-tattersall.de
DONGNAM Coffee Lab;Kurfürstendamm 105, 10711 Berlin;coffee, sweets;€;https://www.google.com/maps/search/?api=1&query=DONGNAM%20Coffee%20Lab%2C%20Kurf%C3%BCrstendamm%20105%2C%2010711%20Berlin;
DoubleEye;Akazienstraße 22, 10823 Berlin;coffee;€;https://www.google.com/maps/search/?api=1&query=DoubleEye%2C%20Akazienstra%C3%9Fe%2022%2C%2010823%20Berlin;https://doubleeye.shop
Doyum Restaurant;Admiralstraße 36, 10999 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Doyum%20Restaurant%2C%20Admiralstra%C3%9Fe%2036%2C%2010999%20Berlin;
Engelsbecken;Witzlebenstraße 31, 14057 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Engelsbecken%2C%20Witzlebenstra%C3%9Fe%2031%2C%2014057%20Berlin;https://www.engelsbecken.de
Enoiteca Il Calice;Walter-Benjamin-Platz 4, 10629 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Enoiteca%20Il%20Calice%2C%20Walter-Benjamin-Platz%204%2C%2010629%20Berlin;https://enoiteca-il-calice.de
Estelle;Kopenhagener Str. 12A, 10437 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=Estelle%2C%20Kopenhagener%20Str.%2012A%2C%2010437%20Berlin;https://estelle-berlin.com
Father Carpenter;Münzstr 21, 10178 Berlin;breakfast, coffee;€€;https://www.google.com/maps/search/?api=1&query=Father%20Carpenter%2C%20M%C3%BCnzstr%2021%2C%2010178%20Berlin;https://www.fathercarpenter.com
File Asto;Kollwitzstraße 26, 10405 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=File%20Asto%2C%20Kollwitzstra%C3%9Fe%2026%2C%2010405%20Berlin;
Five Elephant;Reichenberger Str. 101, 10999 Berlin;coffee, sweets;€;https://www.google.com/maps/search/?api=1&query=Five%20Elephant%2C%20Reichenberger%20Str.%20101%2C%2010999%20Berlin;https://www.fiveelephant.com
Fourty Years Kitchen;Schliemannstraße 21, 10437 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Fourty%20Years%20Kitchen%2C%20Schliemannstra%C3%9Fe%2021%2C%2010437%20Berlin;
Frau Mittenmang;Rodenbergstr. 37, 10439 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Frau%20Mittenmang%2C%20Rodenbergstr.%2037%2C%2010439%20Berlin;
Freundschaft;Mittelstraße 1, 10117 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Freundschaft%2C%20Mittelstra%C3%9Fe%201%2C%2010117%20Berlin;
Frühstück 3000;Bülowstraße 101, 10783 Berlin;breakfast, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Fr%C3%BChst%C3%BCck%203000%2C%20B%C3%BClowstra%C3%9Fe%20101%2C%2010783%20Berlin;https://fruehstueck3000.com
Fukagawa Ramen;Wörtherstr. 22, 10405 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Fukagawa%20Ramen%2C%20W%C3%B6rtherstr.%2022%2C%2010405%20Berlin;https://fukagawa.de
Gazzo;Hobrechtstrasse 57, 12047 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Gazzo%2C%20Hobrechtstrasse%2057%2C%2012047%20Berlin;
GEMELLO;Lettestr. 6A, 10437 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=GEMELLO%2C%20Lettestr.%206A%2C%2010437%20Berlin;
Gingi's Izakaya;Rykestr. 45, 10405 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Gingi%27s%20Izakaya%2C%20Rykestr.%2045%2C%2010405%20Berlin;
Gnam Pasta Factory;Kottbusser Damm 6, 10967 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Gnam%20Pasta%20Factory%2C%20Kottbusser%20Damm%206%2C%2010967%20Berlin;
goldies;Oranienstr. 6, 10997 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=goldies%2C%20Oranienstr.%206%2C%2010997%20Berlin;https://www.goldies-smashburger.de
ITA Bistro;Lettestraße 9, 10437 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=ITA%20Bistro%2C%20Lettestra%C3%9Fe%209%2C%2010437%20Berlin;
jaja;Weichselstraße 7, 12043 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=jaja%2C%20Weichselstra%C3%9Fe%207%2C%2012043%20Berlin;
JOHANN Bäckerei;Gleditschstraße 47, 10781 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=JOHANN%20B%C3%A4ckerei%2C%20Gleditschstra%C3%9Fe%2047%2C%2010781%20Berlin;
Jolie Bistrot;Lützowstraße 23, 10785 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Jolie%20Bistrot%2C%20L%C3%BCtzowstra%C3%9Fe%2023%2C%2010785%20Berlin;https://www.joliebistrot.de
Jones Ice Cream;Goltzstr. 3, 10781 Berlin;sweets;€;https://www.google.com/maps/search/?api=1&query=Jones%20Ice%20Cream%2C%20Goltzstr.%203%2C%2010781%20Berlin;
Jules Geisberg;Geisbergstraße 9, 10777 Berlin;coffee, breakfast;€;https://www.google.com/maps/search/?api=1&query=Jules%20Geisberg%2C%20Geisbergstra%C3%9Fe%209%2C%2010777%20Berlin;https://julesgeisberg.de
Julius;Gerichtstraße 31, 13347 Berlin;coffee, dinner;€€€;https://www.google.com/maps/search/?api=1&query=Julius%2C%20Gerichtstra%C3%9Fe%2031%2C%2013347%20Berlin;
Jungbluth;Lepsiusstr. 63, 12163 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Jungbluth%2C%20Lepsiusstr.%2063%2C%2012163%20Berlin;https://jungbluth.berlin
Kanal61;Pannierstraße 61, 12047 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Kanal61%2C%20Pannierstra%C3%9Fe%2061%2C%2012047%20Berlin;
Kitten Deli;Friedelstraße 30, 12047 Berlin;breakfast, lunch;€€;https://www.google.com/maps/search/?api=1&query=Kitten%20Deli%2C%20Friedelstra%C3%9Fe%2030%2C%2012047%20Berlin;https://kittendeli.de
